,filler type,filler type.1,matrix type,filler size/nm,BET,cage size/A,aperture size/A,loading amout,thickness/μm,T/℃,P/bar,Control CH4 permeability,Control CO2/CH4 selectivity,Relative CO2 permeability,Relative CO2/CH4 selectivity
9,Cu3BTC2,Cu3BTC2,Matrimid 5218,10000.0,1071.0,8.6,8.6,0.3,42.5,35,10.0,0.556179775280899,17.8,1.76767676767677,1.29213483146067
321,ZIF-8,ZIF-8,Matrimid 5218,,1860.0,11.6,3.4,0.15,40.0,35,3.45,0.258840579710145,34.5,2.79955207166853,1.01739130434783
323,ZIF-8,ZIF-8,Matrimid 5218,,350.0,11.6,3.4,0.15,40.0,35,3.45,0.258840579710145,34.5,1.3437849944009,1.11014492753623
73,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,3.0,0.225,9.77777777777778,2.22727272727273,1.05502392344498
41,MOF-5,MOF-5,PI,3000.0,2387.0,7.8,7.8,0.05,40.0,25,1.0,0.22,9.31818181818182,1.68780487804878,1.14958846182889
528,UiO-66,UiO-66,6FDD,324.0,537.0,11.0,6.0,0.4,50.0,35,3.0,5.3,31.1320754716981,2.42727272727273,0.952929292929293
318,ZIF-8,ZIF-8,Matrimid 5218,60.0,1450.0,11.6,3.4,0.2,55.0,22,4.0,0.23,35.0869565217391,1.60099132589839,1.02285556932397
265,ZIF-8,ZIF-8,PEBAX 1657,700.0,1506.0,11.6,3.4,0.02,95.0,35,11.0,4.1,17.0975609756098,1.68188302425107,1.2537673453508
517,UiO-66,UiO-66,PIM-1-TT,30.0,950.0,11.0,6.0,0.2,1.0,25,4.0,206.896551724138,14.5,0.766666666666667,1.58620689655172
397,MIL-53,MIL-53,Matrimid 5218,280.0,1440.0,8.5,8.5,0.2,,35,3.0,0.22,28.1818181818182,2.50322580645161,0.573655913978495
15,Cu3BTC2,Cu3BTC2,ODPA–TMPDA,400.0,1232.0,8.6,8.6,0.1,55.0,35,2.0,1.62854216456128,29.29,2.55765199161426,0.914988050529191
322,ZIF-8,ZIF-8,Matrimid 5218,,1150.0,11.6,3.4,0.15,40.0,35,3.45,0.258840579710145,34.5,1.56774916013438,1.05797101449275
179,ZIF-7,ZIF-7,PEI,55.0,290.0,7.5,3.0,0.05,400.0,3,2.03,18.9,3.78440366972477,2.98060606060606,0.355844535165455
406,MIL-53,MIL-53,PVDF,100.0,782.0,7.8,7.8,0.05,,25,0.5,0.043,21.2790697674419,1.20983606557377,1.08381147540984
456,ZIF-8,ZIF-8,Matrimid 5218,300.0,1550.0,1.16,3.4,0.3,55.0,35,5.0,0.355,23.3802816901408,2.66265060240964,1.96925200803213
186,ZIF-8,ZIF-8,PIM-1,40.0,1350.0,11.6,3.4,0.11,,35,1.0,310.0,24.3888888888889,1.09681093394077,0.789703872437358
